Unnamed: 0,Performance,TP,LOBK,Engagement
0,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
1,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
2,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
3,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
4,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
5,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
6,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
7,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
8,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
9,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
10,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
11,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
12,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
13,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
14,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
15,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
16,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
17,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
18,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
19,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
20,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
21,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
22,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
23,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
24,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
25,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
26,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
27,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
28,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
29,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
30,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
31,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
32,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
33,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
34,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
35,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
36,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
37,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
38,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
39,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
40,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
41,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
42,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
43,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
44,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
45,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
46,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
47,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
48,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
49,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
50,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
51,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
52,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
53,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
54,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
55,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
56,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
57,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
58,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
59,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
60,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
61,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
62,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
63,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
64,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
65,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
66,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
67,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
68,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
69,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
70,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
71,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
72,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
73,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
74,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
75,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
76,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
77,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
78,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
79,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
80,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
81,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
82,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
83,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
84,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
85,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
86,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
87,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
88,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
89,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
90,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
91,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
92,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
93,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
94,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
95,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
96,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
97,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
98,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
99,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
100,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
101,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
102,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
103,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
104,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
105,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
106,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
107,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
108,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
109,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
110,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
111,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
112,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
113,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
114,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
115,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
116,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
117,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
118,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
119,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
120,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
121,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
122,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
123,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
124,34333344433-Score,34030344410-Score,33323323339-Score,22221111111-Score
125,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
126,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
127,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
128,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
129,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
130,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
131,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
132,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
133,34223344433-Score,34020344410-Score,44444444449-Score,44444444444-Score
134,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
135,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
136,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
137,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
138,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
139,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
140,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
141,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
142,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
143,34222234433-Score,34220224400-Score,44443434439-Score,22321201112-Score
144,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
145,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
146,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
147,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
148,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
149,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
150,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
151,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
152,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
153,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
154,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
155,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
156,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
157,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
158,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
159,03222234411-Score,03222234410-Score,24444444429-Score,23333333444-Score
160,00000000000-Score,00000000000-Score,11122122219-Score,10010000000-Score
161,00222234433-Score,00222234410-Score,22444444449-Score,12222223333-Score
162,99999999999-Score,99999999999-Score,99999999999-Score,99999999999-Score
163,34220034411-Score,34220034410-Score,44442244429-Score,33333333333-Score
164,34333344433-Score,34030344410-Score,44444444449-Score,33323333333-Score
165,34002234411-Score,32002234410-Score,33224444429-Score,20021122212-Score
166,34000034433-Score,34000034430-Score,44222244449-Score,33333333333-Score
167,03111134433-Score,03010134430-Score,14222244449-Score,13333333342-Score
168,03111134433-Score,03010134432-Score,14222244449-Score,12121122232-Score
169,00220003433-Score,00020003430-Score,21442224449-Score,11111112222-Score
170,34000034411-Score,30000032210-Score,32202244319-Score,21102121001-Score
171,34000034411-Score,30000032400-Score,43212143419-Score,20201010200-Score
172,00000034411-Score,00000032000-Score,12222244419-Score,12210121001-Score
173,34220003411-Score,34220003410-Score,44442224429-Score,43212212212-Score
174,34000034411-Score,30000034410-Score,42222244429-Score,20221112121-Score
175,03000034411-Score,03000034400-Score,23222144419-Score,11212022201-Score
176,34222234411-Score,34220234410-Score,44444444429-Score,32222222222-Score
177,00000034411-Score,00000034410-Score,12222244429-Score,11121122221-Score
178,34000034411-Score,32000034410-Score,32212244429-Score,21202121312-Score
179,34000034411-Score,34000034410-Score,42222244429-Score,31222223331-Score
180,34110000311-Score,30010000300-Score,44222122419-Score,32221011201-Score
181,34000034411-Score,32000033010-Score,34222144429-Score,22121122222-Score
182,21002234411-Score,20000234410-Score,22224444429-Score,11112112211-Score
183,34333344433-Score,34030344410-Score,44444444449-Score,33333333333-Score
184,34333344433-Score,24030344410-Score,34444444449-Score,13333333333-Score
185,00000034411-Score,00000034400-Score,10222244429-Score,10121112101-Score
